Address,Aggravated assault,Arson,Burglary,Larceny,Murder,Robbery,Vehicle theft,Total
100 block Graves St,,,,1,,,,1
100 block Gray Av,,,,1,,,,1
100 block Green St,,,1,1,,,1,3
100 block Greenland Dr,,,1,1,,,,2
100 block Griffin St,,,,1,,,,1
100 block Griffiths St,1,,,1,,3,,5
100 block Grove St,,,,,,,1,1
100 block Haffenden Rd,,,,1,,,,1
100 block Hampshire Rd,,,,1,,,,1
100 block Hampton Rd,,,,1,,,,1
100 block Hancock Dr,,,,,,,1,1
100 block Harbor St,,,,2,,,,2
100 block Harborside Dr,,,,1,,,,1
100 block Harding St,,,,1,,,,1
100 block Harrison Pl,,,,1,,,,1
100 block Harrison St,,,,1,,,,1
100 block Hartson St,2,,1,2,,1,,6
100 block Harwood Av,,,,2,,,,2
100 block Hastings Pl,,,,1,,,,1
100 block Hatch St,,,,,,,2,2
100 block Hatherly Rd,,,,1,,,,1
100 block Hawley Av,1,,,,,,,1
100 block Hayden Av,,,,1,,,,1
100 block Headson Dr,,,,2,,,,2
100 block Helen St,,,1,,,,,1
100 block Henry St,,,,3,,,,3
100 block Herbert St,1,,,,,,,1
100 block Herbst St,1,,,,,,,1
100 block Herkimer St,,,,1,,,,1
100 block Herriman St,,,,1,,,,1
100 block Hertford St,,,,1,,,,1
100 block Herz St,,,,3,,,,3
100 block Hickock Av,,,1,,,,,1
100 block Hickok Av,,,,1,,,,1
100 block Hier Av,,,1,,,,,1
100 block Highland Av,1,,,2,,,,3
100 block Hillsdale Av,,,1,,,,,1
100 block Hixson Av,,,,1,,,,1
100 block Hobart Av,,,,1,,,,1
100 block Holden St,,,,1,,,1,2
100 block Holland St,1,,1,,,,,2
100 block Homecroft Av,,,,1,,,,1
100 block Hood Av,,,,1,,,1,2
100 block Hope Av,,,1,1,,,,2
100 block Hopper Rd,,,,1,,,,1
100 block Houston Av,,,,1,,,,1
100 block Hudson Av,1,,,,,,,1
100 block Hudson St,1,,1,1,,,,3
100 block Hunter Av,1,,,,,,,1
100 block Huntley St,,,,1,,,,1
100 block Hurlburt Rd,,,,1,,,,1
100 block Huron St,,,1,,,,,1
100 block Interpid Ln,,,,1,,,,1
100 block Intrepid Ln,,,1,,,,,1
100 block Isabella St,,,1,,,,,1
100 block Ivy Ridge Rd,1,,,,,,,1
100 block Jaclyn Dr,,,,1,,,,1
100 block Jamesville Av,,,1,3,,,,4
100 block Janet Dr,,,,1,,,,1
100 block Jasper Pl,,,1,,,,,1
100 block Jasper St,,,,2,,1,1,4
