,Address,Fire.alarm
788,1100 block dead end  at s west st,1
789,1100 block delaware st  at kellogg st,1
790,1100 block delaware st  at s geddes st,3
791,1100 block delaware st  at w onondaga st,1
792,1100 block dewey ave  at waite av,1
793,1100 block dewitt st,3
794,1100 block dewitt st  at james st,2
795,1100 block dickerson st  at s clinton st,1
796,1100 block division st  at carbon st e,1
797,1100 block division st  at n state st e,1
798,1100 block dorothy st  at vine st,1
799,1100 block douglas st  at graves st,1
800,1100 block eastview ave dr  at onondaga av,1
801,1100 block eb i 690  at midler ave from eb i,1
802,1100 block eb i 690  at n geddes st to eb i,1
803,1100 block eb i 690  at n mcbride st to eb i,1
804,1100 block eb i 690  at teall ave from eb i,3
805,1100 block eb i 690  at west st from eb i 69,2
806,1100 block edwards ave  at james st s,1
807,1100 block eldorado st  at hixson av,1
808,1100 block elm st  at hawley av,1
809,1100 block elmwood ave  at glenwood av,1
810,1100 block emerson ave,6
811,1100 block emerson ave  at erie blvd w,1
812,1100 block erie blvd e  at hampton inn drwy,1
813,1100 block erie blvd e  at lodi st,1
814,1100 block erie blvd e  at peat st,2
815,1100 block erie blvd e  at s state st,1
816,1100 block erie blvd e  at thompson rd,2
817,1100 block erie blvd w  at hiawatha blvd w,1
818,1100 block erie blvd w  at n franklin st,1
819,1100 block erie blvd w at nb west street arter,1
820,1100 block euclid ave,1
821,1100 block euclid ave  at comstock av,1
822,1100 block euclid ave  at crawford av,1
823,1100 block euclid ave  at ostrom av,2
824,1100 block eureka st st  at w belden av,1
825,1100 block exchange st  at n salina st,1
826,1100 block fayette st,1
827,1100 block fayette st  at erie blvd w,1
828,1100 block fayette st  at nb west street arter,1
829,1100 block fayette st  at s townsend st e,1
830,1100 block fayette st  at westcott st e,1
831,1100 block fellows ave  at harvard pl,1
832,1100 block first north st,2
833,1100 block first north st  at delong av,1
834,1100 block fitch st  at s geddes st,1
835,1100 block ford ave  at ballantyne rd,1
836,1100 block forest ave  at cannon st,1
837,1100 block fountain st  at gertrude st,1
838,1100 block franklin st  at erie blvd w n,1
839,1100 block franklin st  at evans st n,2
840,1100 block franklin st  at herald pl n,1
841,1100 block front of 1000 col eileen collins blvd,2
842,1100 block front of 1074 s clinton st,1
843,1100 block front of 1161 grant blvd,1
844,1100 block front of 136 n geddes st,1
845,1100 block front of 136 nelson st,1
846,1100 block front of 1409 w genesee st,1
847,1100 block front of 159 merritt av,1
848,1100 block front of 175 eliz.blackwell st,1
