,Address,Fire alarm
513,115 KELLOGG St,1
514,115 MAYAR St,1
515,115 MORGAN Ave,1
516,115 NEWBURY HOLLOW Ln,1
517,115 NORMANOR Dr,1
518,115 ONONDAGA Ave,1
519,115 REDFIELD Pl,1
520,115 RIDER Ave,1
521,115 SABINE St,1
522,115 SCHILLER Ave,1
523,115 SEDGWICK Rd,2
524,115 W CALTHROP Ave,1
525,115 W LYNHURST Ave,1
526,115 WENDELL Ter,1
527,1155 TEALL Ave,6
528,116 ARSENAL Dr,1
529,116 BRADLEY St,1
530,116 BURNET PARK Dr,1
531,116 CANDEE Ave,1
532,116 COMSTOCK Ave,1
533,116 CULBERT St,2
534,116 E LAFAYETTE Ave,1
535,116 FITCH St,1
536,116 GRAY Ave,2
537,116 HARDING Pl,1
538,116 HAWLEY Ave,3
539,116 HILLSBORO Pkwy,1
540,116 KIRK Ave,1
541,116 LINWILL Ter,1
542,116 LOEHR Ave,1
543,116 MARTIN LUTHER KING E,7
544,116 MAYAR St,1
545,116 RADISSON Ct,1
546,116 SCOTTHOLM Ter,1
547,116 SENECA Dr,3
548,116 STATE FAIR Blvd,1
549,116 VICTORIA Pl,1
550,116 W GLEN Ave,1
551,116 W NEWELL St,1
552,1161 GRANT Blvd,1
553,1163 MEADOWBROOK Dr,1
554,1164 LEMOYNE Ave,1
555,117 GEBHARDT Ave,1
556,117 GREEN St,1
557,117 LINWILL Ter,1
558,117 MAURICE Ave,1
559,117 MONROE St,2
560,117 NIVEN St,1
561,117 PARKWAY Dr,1
562,117 RUGBY Rd,1
563,117 S ALVORD St,1
564,117 SEDGWICK St,2
565,117 W LYNHURST Ave,1
566,117 WARHAM St,1
567,1172 LEMOYNE Ave,1
568,118 ACADEMY GREEN,1
569,118 ALBERT Ter,1
570,118 ANNETTA St,1
571,118 BROOKLEA Pl,1
572,118 CORTLAND Pl,1
573,118 MAGNOLIA St,1
574,118 MARTIN LUTHER KING W,2
575,118 MELROSE Ave,1
576,118 MILBURN Dr,1
577,118 OLIVE St,1
578,118 RADISSON Ct,1
579,118 SCHILLER Ave,3
580,118 W LAFAYETTE Ave,1
581,118 WASHINGTON Sq,1
582,119 ARNTS Pl,1
583,119 ASHDALE Ave,1
584,119 BENEDICT Ave,1
585,119 CHENEY St,1
586,119 CLARENDON St,1
587,119 CRIPPEN Ave,4
588,119 CRIPPEN Pl,4
589,119 DEARBORN Pl,1
590,119 GLENWOOD Ave,1
591,119 MAPLE Ter,1
592,119 N EDWARDS Ave,1
593,119 N MCBRIDE St,1
594,119 NEWBURY HOLLOW Ln,1
595,119 PARKVIEW Ave,1
596,119 SALT SPRINGS Rd,1
597,119 SHOTWELL Park,3
598,119 W CALTHROP Ave,1
599,12 BRADFORD Ct,1
600,12 CENTENNIAL Dr,1
601,120 AMHERST Ave,1
602,120 AMIDON Dr,2
603,120 BALL Cir,1
604,120 BEVERLY Rd,2
605,120 COLLEGE Pl,8
606,120 CONKLIN Ave,1
607,120 CRIPPEN Pl,1
608,120 CROUSE Dr,1
609,120 CULBERT St,1
610,120 CUMBERLAND Ave,1
611,120 ESSEX St,1
612,120 GERE Ave,1
613,120 GIFFORD St,4
614,120 GRAY Ave,1
615,120 LAWRENCE St,1
616,120 MADISON St,3
617,120 MANOR Dr,1
618,120 RIVERDALE Dr,3
619,120 S FRANKLIN St,1
620,120 SEELEY Ave,1
621,120 SHERIDAN Pl,1
622,120 SIMS Dr,5
623,120 ST LOUIS Ave,3
624,120 VANN St,2
625,120 WALTON St,2
626,120 WOLF St,1
627,1200 CANAL St,1
628,1200 W ONONDAGA St,1
629,1200BLK SPRING St,1
630,1201 GLENWOOD Ave,1
631,1201 WOLF St,7
632,1202 E COLVIN St,1
